,ra,dec,name,major_axis,minor_axis,pa
322,291.7579,-6.58462,M 3-34,26.0869565217,26.0869565217,0.0
323,276.78874,1.24073,K 3-3,26.0869565217,26.0869565217,0.0
324,282.6027,-1.67166,HaTr 10,26.0869565217,26.0869565217,0.0
325,280.76438,-0.27708,PC 20,26.0869565217,26.0869565217,0.0
326,282.66794,-1.0531,WeSb 4,26.0869565217,26.0869565217,0.0
327,285.14511,-2.19934,K 3-18,26.0869565217,26.0869565217,0.0
328,284.06534,-1.56675,CBSS 2,26.0869565217,26.0869565217,0.0
329,276.18552,2.49114,PC 19,26.0869565217,26.0869565217,0.0
330,285.5423,-1.81259,K 3-20,26.0869565217,26.0869565217,0.0
331,277.75095,2.42426,K 3-4,26.0869565217,26.0869565217,0.0
332,284.60938,-1.06269,M 1-66,26.0869565217,26.0869565217,0.0
333,285.4024,-1.31885,K 3-19,26.0869565217,26.0869565217,0.0
334,283.52847,-0.33413,CBSS 3,26.0869565217,26.0869565217,0.0
335,275.84052,3.60772,K 3-1,26.0869565217,26.0869565217,0.0
336,287.60736,-2.33985,Abell 55,26.0869565217,26.0869565217,0.0
337,288.65155,-2.70696,NGC 6772,64.20000046491623,64.20000046491623,0.0
338,284.71559,-0.5493,Sa 3-151,26.0869565217,26.0869565217,0.0
339,285.06723,-0.24239,CBSS 1,26.0869565217,26.0869565217,0.0
340,285.65454,-0.44916,NGC 6741,26.0869565217,26.0869565217,0.0
341,281.35242,2.02329,K 3-13,26.0869565217,26.0869565217,0.0
343,277.94098,4.08587,K 3-5,26.0869565217,26.0869565217,0.0
345,289.60396,-1.59644,NGC 6778,26.0869565217,26.0869565217,0.0
346,273.02636,6.85359,NGC 6572,26.0869565217,26.0869565217,0.0
347,288.66324,0.22675,K 3-26,26.0869565217,26.0869565217,0.0
348,285.49983,2.15447,Sh 2-71,26.0869565217,26.0869565217,0.0
349,268.38446,10.62326,Abell 43,26.0869565217,26.0869565217,0.0
351,287.00894,2.35674,HaTr 13,26.0869565217,26.0869565217,0.0
352,285.74729,3.03925,HaTr 11,26.0869565217,26.0869565217,0.0
353,289.58533,1.78323,Abell 58,26.0869565217,26.0869565217,0.0
355,290.73737,1.5129,NGC 6790,26.0869565217,26.0869565217,0.0
356,288.27554,2.87997,Abell 56,26.0869565217,26.0869565217,0.0
358,274.39213,10.15097,Cn 3-1,26.0869565217,26.0869565217,0.0
359,288.34427,3.41675,K 4-19,26.0869565217,26.0869565217,0.0
360,283.72559,5.80314,PM 1-264,26.0869565217,26.0869565217,0.0
361,283.73877,6.04196,YM 16,26.0869565217,26.0869565217,0.0
362,288.47458,3.62824,M 1-69,26.0869565217,26.0869565217,0.0
363,287.72254,4.45789,PM 1-285,26.0869565217,26.0869565217,0.0
364,288.39398,4.63457,M 2-47,26.0869565217,26.0869565217,0.0
365,284.07567,7.12394,K 3-17,26.0869565217,26.0869565217,0.0
366,286.69128,6.39791,Abell 53,26.0869565217,26.0869565217,0.0
367,289.11539,5.22207,K 3-30,26.0869565217,26.0869565217,0.0
368,287.30683,7.09556,HaTr 14,26.0869565217,26.0869565217,0.0
369,285.27396,8.42667,PM 1-273,26.0869565217,26.0869565217,0.0
370,282.9231,9.91455,K 3-15,26.0869565217,26.0869565217,0.0
371,289.61703,6.53869,NGC 6781,107.99999758601189,107.99999758601189,0.0
372,282.13675,10.59743,K 3-14,26.0869565217,26.0869565217,0.0
373,300.16338,1.72803,NGC 6852,28.200001269578934,28.200001269578934,0.0
374,293.63972,5.68401,NGC 6807,26.0869565217,26.0869565217,0.0
375,290.25299,7.61455,M 4-14,26.0869565217,26.0869565217,0.0
377,284.14017,10.86946,M 1-65,26.0869565217,26.0869565217,0.0
378,289.46066,8.25232,PM 2-40,26.0869565217,26.0869565217,0.0
379,285.574,10.2925,PM 1-276,26.0869565217,26.0869565217,0.0
380,276.95114,14.48502,M 3-27,26.0869565217,26.0869565217,0.0
381,299.613,3.04977,Abell 67,26.0869565217,26.0869565217,0.0
382,283.25679,12.26664,K 3-16,26.0869565217,26.0869565217,0.0
383,282.69516,12.62506,CTSS 2,26.0869565217,26.0869565217,0.0
384,286.63394,10.72331,PM 1-281,26.0869565217,26.0869565217,0.0
385,293.16483,7.46432,K 3-36,26.0869565217,26.0869565217,0.0
386,278.51104,14.82206,We 3-1,26.0869565217,26.0869565217,0.0
387,291.09259,9.89896,Vy 2-2,26.0869565217,26.0869565217,0.0
389,292.89642,9.22533,NGC 6804,34.79999899864197,34.79999899864197,0.0
390,290.61111,10.68927,K 3-33,26.0869565217,26.0869565217,0.0
