#EXPID	Flag	comments
#Flags: 1=possibly saturated; 2=clouds; 3=other source
548362  3	no guide stars. Double images. Bad.
548364 expfactor=0.292  seeing=1.626
548400  3	lost guide stars 2/3 in. Double images. Bad.
548414  2	lost guide
548415  2	lost guide
548416  2	lost guide
548417  2	lost guide
552525  2  transparency < 0.3 thick clouds, and seeing > 2.5
552526  2  transparency < 0.3 thick clouds, and seeing > 2.5
552527  2  transparency < 0.3 thick clouds, and seeing > 2.5
552528  2  transparency < 0.3 thick clouds, and seeing > 2.5
552529  2  transparency < 0.3 thick clouds, and seeing > 2.5
552530  2  transparency < 0.3 thick clouds, and seeing > 2.5
552531  2  transparency < 0.3 thick clouds, and seeing > 2.5
552532  2  transparency < 0.3 thick clouds, and seeing > 2.5
552533  2  transparency < 0.3 thick clouds, and seeing > 2.5
552534  2  transparency < 0.3 thick clouds, and seeing > 2.5
552535  2  transparency < 0.3 thick clouds, and seeing > 2.5
552536  2  transparency < 0.3 thick clouds, and seeing > 2.5
552537  2  transparency < 0.3 thick clouds, and seeing > 2.5
552538  2  transparency < 0.3 thick clouds, and seeing > 2.5
552539  2  transparency < 0.3 thick clouds, and seeing > 2.5
552540  2  transparency < 0.3 thick clouds, and seeing > 2.5
552541  2  transparency < 0.3 thick clouds, and seeing > 2.5
552542  2  transparency < 0.3 thick clouds, and seeing > 2.5
552543  2  transparency < 0.3 thick clouds, and seeing > 2.5
552544  2  transparency < 0.3 thick clouds, and seeing > 2.5
552545  2  transparency < 0.3 thick clouds, and seeing > 2.5
552546  2  transparency < 0.3 thick clouds, and seeing > 2.5
552547  2  transparency < 0.3 thick clouds, and seeing > 2.5
552548  2  transparency < 0.3 thick clouds, and seeing > 2.5
552549  2  transparency < 0.3 thick clouds, and seeing > 2.5
552550  2  transparency < 0.3 thick clouds, and seeing > 2.5
552551  2  transparency < 0.3 thick clouds, and seeing > 2.5
552552  2  transparency < 0.3 thick clouds, and seeing > 2.5
552553  2  transparency < 0.3 thick clouds, and seeing > 2.5
552554  2  transparency < 0.3 thick clouds, and seeing > 2.5
552555  2  transparency < 0.3 thick clouds, and seeing > 2.5
552556  2  transparency < 0.3 thick clouds, and seeing > 2.5

553390 expfactor=0.267  seeing=1.182
553464 expfactor=0.298  seeing=1.717
553466 expfactor=0.296  seeing=1.836
553480 expfactor=0.196  seeing=1.381
